SR Change,Elim,Death,Match Time,Dmg
21.00,29.00,9.00,15,7153.00
19.00,25.00,10.00,15,10434.00
-23.00,15.00,7.00,11,6709.00
-19.00,30.00,8.00,13,7681.00
-21.00,6.00,7.00,6,3028.00
26.00,21.00,8.00,12,5080.00
26.00,36.00,8.00,14,7123.00
24.00,20.00,3.00,11,5020.00
23.00,27.00,12.00,19,8058.00
-24.00,6.00,9.00,7,4135.00
-22.00,23.00,8.00,17,6275.00
-25.00,17.00,8.00,12,5890.00
25.00,20.00,3.00,9,4611.00
-18.00,20.00,10.00,13,7236.00
17.00,29.00,11.00,16,11960.00
23.00,24.00,6.00,9,5111.00
-21.00,19.00,9.00,14,5208.00
30.00,52.00,8.00,15,10820.00
-22.00,18.00,8.00,12,4759.00
-27.00,4.00,12.00,8,3631.00
-23.00,7.00,12.00,11,4286.00
23.00,30.00,10.00,16,7156.00
-25.00,9.00,5.00,9,5199.00
21.00,20.00,5.00,8,4154.00
22.00,12.00,12.00,14,2106.00
26.00,26.00,12.00,15,6581.00
23.00,10.00,10.00,11,3141.00
-22.00,24.00,15.00,16,9245.00
22.00,27.00,13.00,15,6952.00
-21.00,8.00,7.00,10,2227.00
25.00,12.00,3.00,4,3263.00
-19.00,2.00,7.00,10,1588.00
-26.00,21.00,16.00,16,6595.00
-19.00,34.00,7.00,14,9309.00
26.00,11.00,3.00,8,2629.00
26.00,8.00,5.00,9,3666.00
22.00,21.00,13.00,23,4489.00
-26.00,11.00,5.00,9,5632.00
-18.00,6.00,5.00,5,3111.00
25.00,24.00,7.00,15,7140.00
20.00,18.00,6.00,11,4375.00
26.00,35.00,17.00,19,8323.00
20.00,11.00,10.00,13,1741.00
-22.00,13.00,10.00,12,4425.00
-22.00,8.00,7.00,9,2915.00
-22.00,11.00,10.00,10,2768.00
27.00,16.00,5.00,8,3211.00
25.00,5.00,3.00,4,343.00
22.00,14.00,7.00,12,5174.00
20.00,20.00,4.00,8,5542.00
22.00,29.00,18.00,22,9983.00
-19.00,3.00,7.00,6,4031.00
28.00,41.00,9.00,16,9770.00
29.00,52.00,3.00,11,8266.00
28.00,29.00,3.00,11,6141.00
-20.00,25.00,12.00,14,8436.00
29.00,43.00,10.00,14,7089.00
-23.00,15.00,13.00,13,4423.00
-24.00,29.00,12.00,19,9897.00
-23.00,14.00,12.00,10,3500.00
-24.00,9.00,10.00,11,1601.00
27.00,21.00,9.00,15,4058.00
-23.00,8.00,9.00,7,3460.00
-24.00,23.00,15.00,18,3785.00
-19.00,7.00,5.00,6,3008.00
-28.00,2.00,9.00,8,1215.00
22.00,28.00,8.00,15,10488.00
20.00,23.00,22.00,20,8585.00
19.00,24.00,10.00,16,9344.00
19.00,16.00,11.00,17,12448.00
20.00,5.00,11.00,12,975.00
-28.00,2.00,8.00,6,1874.00
-24.00,24.00,16.00,17,8698.00
-21.00,15.00,11.00,8,2983.00
25.00,38.00,11.00,14,7355.00
28.00,4.00,6.00,13,738.00
-25.00,8.00,10.00,9,2694.00
-28.00,21.00,14.00,13,7300.00
-25.00,8.00,9.00,9,4386.00
26.00,31.00,3.00,11,5911.00
-16.00,15.00,4.00,5,2995.00
30.00,40.00,6.00,12,9164.00
24.00,3.00,14.00,21,8454.00
22.00,22.00,12.00,15,6613.00
21.00,23.00,8.00,10,7855.00
-23.00,12.00,14.00,11,6040.00
-23.00,16.00,10.00,13,7678.00
-21.00,35.00,14.00,18,9871.00
25.00,26.00,8.00,11,6940.00
27.00,27.00,11.00,13,6140.00
-24.00,14.00,13.00,15,6689.00
21.00,34.00,13.00,18,16159.00
-23.00,42.00,16.00,16,16860.00
-21.00,23.00,12.00,13,6496.00
-22.00,14.00,15.00,13,5905.00
26.00,33.00,7.00,12,6149.00
-27.00,14.00,16.00,14,6094.00
-20.00,7.00,8.00,8,2256.00
21.00,17.00,6.00,12,3742.00
-21.00,34.00,11.00,17,7088.00
25.00,3.00,7.00,14,1084.00
-23.00,6.00,9.00,7,2228.00
-22.00,17.00,12.00,10,4979.00
18.00,16.00,7.00,11,6536.00
23.00,32.00,9.00,15,13611.00
-23.00,20.00,7.00,12,10579.00
23.00,29.00,7.00,12,7378.00
23.00,31.00,11.00,15,7277.00
28.00,29.00,7.00,10,8133.00
27.00,27.00,9.00,13,6400.00
-21.00,22.00,14.00,17,6311.00
-24.00,18.00,10.00,12,4344.00
27.00,15.00,4.00,6,2367.00
-23.00,3.00,7.00,6,1729.00
23.00,21.00,9.00,11,3235.00
23.00,19.00,8.00,10,4028.00
20.00,13.00,14.00,13,6264.00
-23.00,3.00,10.00,7,3364.00
-19.00,32.00,18.00,18,9094.00
-20.00,6.00,6.00,5,3807.00
-24.00,4.00,6.00,5,4976.00
23.00,21.00,8.00,13,4127.00
22.00,13.00,2.00,5,2068.00
29.00,17.00,7.00,9,3625.00
18.00,18.00,13.00,17,8117.00
27.00,16.00,4.00,10,5045.00
23.00,16.00,9.00,12,6011.00
-21.00,16.00,12.00,12,8421.00
-26.00,10.00,19.00,15,3378.00
24.00,16.00,3.00,10,1770.00
-23.00,33.00,11.00,16,9571.00
23.00,26.00,9.00,16,9473.00
-24.00,3.00,4.00,5,2369.00
-28.00,7.00,8.00,8,2335.00
-26.00,28.00,19.00,21,9310.00
-21.00,11.00,8.00,10,3899.00
20.00,20.00,11.00,12,7186.00
-24.00,6.00,5.00,5,2737.00
-23.00,19.00,11.00,14,3527.00
23.00,8.00,3.00,8,1822.00
-26.00,14.00,14.00,14,6462.00
24.00,39.00,15.00,15,12837.00
-22.00,9.00,6.00,6,2193.00
25.00,23.00,8.00,13,4917.00
27.00,15.00,2.00,8,2423.00
25.00,16.00,2.00,6,2515.00
-25.00,12.00,15.00,15,5357.00
25.00,25.00,5.00,12,6678.00
-25.00,14.00,15.00,11,9594.00
-23.00,36.00,15.00,20,10521.00
-22.00,20.00,15.00,16,7022.00
24.00,21.00,9.00,12,7154.00
-24.00,26.00,15.00,21,12730.00
19.00,14.00,12.00,14,7414.00
-24.00,17.00,16.00,15,6971.00
22.00,14.00,4.00,6,2065.00
20.00,23.00,14.00,15,6678.00
23.00,24.00,8.00,12,8340.00
-24.00,19.00,15.00,13,4398.00
-20.00,17.00,14.00,14,3895.00
21.00,35.00,12.00,20,13891.00
26.00,18.00,1.00,5,2807.00
27.00,30.00,9.00,15,9824.00
-25.00,11.00,17.00,14,5377.00
23.00,40.00,7.00,14,11751.00
-30.00,11.00,17.00,16,7073.00
-28.00,12.00,6.00,8,5126.00
21.00,28.00,11.00,18,12457.00
-22.00,10.00,7.00,6,5268.00
-21.00,9.00,9.00,10,3896.00
22.00,38.00,10.00,17,11332.00
-25.00,25.00,17.00,16,8439.00
21.00,26.00,11.00,16,6614.00
-23.00,6.00,8.00,7,5203.00
-23.00,17.00,11.00,14,5752.00
27.00,14.00,2.00,5,2654.00
23.00,28.00,10.00,13,13547.00
30.00,19.00,3.00,9,4044.00
25.00,22.00,10.00,15,4924.00
29.00,35.00,8.00,14,9440.00
35.00,27.00,3.00,7,4619.00
32.00,11.00,3.00,9,6051.00
25.00,34.00,4.00,12,5284.00
25.00,56.00,12.00,19,11540.00
-28.00,10.00,12.00,11,4565.00
-23.00,26.00,9.00,13,7805.00
24.00,25.00,8.00,13,5795.00
18.00,11.00,5.00,7,4013.00
-21.00,26.00,9.00,15,5450.00
22.00,9.00,8.00,11,1360.00
-22.00,24.00,13.00,16,7929.00
25.00,21.00,6.00,9,4007.00
25.00,31.00,11.00,15,7282.00
-24.00,18.00,10.00,12,4445.00
-25.00,17.00,8.00,14,4039.00
22.00,19.00,10.00,13,6954.00
21.00,21.00,14.00,16,5437.00
-25.00,25.00,8.00,14,7398.00
-24.00,7.00,5.00,6,2104.00
23.00,1.00,2.00,5,160.00
25.00,30.00,6.00,13,9534.00
24.00,18.00,8.00,10,4161.00
-23.00,5.00,6.00,6,2767.00
22.00,29.00,8.00,12,9973.00
-26.00,19.00,10.00,15,7659.00
23.00,19.00,7.00,9,6691.00
-25.00,10.00,10.00,9,3942.00
22.00,14.00,11.00,12,2964.00
-23.00,3.00,6.00,6,2388.00
-26.00,20.00,6.00,12,3527.00
-23.00,22.00,12.00,17,6230.00
-25.00,2.00,6.00,5,3038.00
23.00,33.00,9.00,15,4697.00
19.00,18.00,6.00,10,2866.00
-24.00,14.00,11.00,12,7549.00
-24.00,14.00,10.00,11,6147.00
-26.00,25.00,11.00,11,7635.00
-25.00,9.00,7.00,9,8713.00
-25.00,24.00,6.00,11,2280.00
26.00,34.00,8.00,9,4883.00
30.00,20.00,12.00,15,7530.00
-21.00,4.00,13.00,14,7381.00
-23.00,29.00,7.00,11,6210.00
21.00,14.00,8.00,7,6245.00
22.00,23.00,4.00,6,7379.00
14.00,45.00,8.00,12,1716.00
-27.00,6.00,5.00,9,5312.00
21.00,5.00,11.00,22,2223.00
-21.00,17.00,13.00,10,8546.00
-27.00,23.00,6.00,8,6737.00
17.00,37.00,7.00,23,6713.00
-28.00,9.00,7.00,7,2245.00
-22.00,18.00,9.00,17,4111.00
23.00,27.00,7.00,12,3057.00
-12.00,22.00,8.00,16,9278.00
23.00,21.00,15.00,20,14253.00
-19.00,27.00,14.00,9,6308.00
24.00,15.00,10.00,9,6128.00
25.00,19.00,4.00,14,7401.00
18.00,7.00,11.00,14,1220.00
-24.00,5.00,10.00,13,7685.00
18.00,28.00,3.00,12,7071.00
26.00,27.00,4.00,7,8682.00
-28.00,25.00,8.00,15,8596.00
-23.00,12.00,4.00,15,12129.00
-24.00,26.00,4.00,11,2522.00
17.00,29.00,11.00,12,6098.00
22.00,6.00,7.00,7,2795.00
28.00,23.00,9.00,5,6931.00
23.00,20.00,10.00,14,9132.00
-20.00,17.00,11.00,8,6104.00
17.00,15.00,10.00,13,1758.00
-16.00,1.00,6.00,17,4479.00
25.00,58.00,9.00,10,6499.00
20.00,16.00,9.00,4,4915.00
-17.00,13.00,8.00,12,12228.00
-20.00,16.00,2.00,11,7077.00
24.00,15.00,15.00,12,3442.00
-27.00,18.00,9.00,13,7705.00
24.00,30.00,9.00,12,7103.00
35.00,17.00,8.00,4,3899.00
19.00,31.00,11.00,13,3196.00
-25.00,10.00,8.00,10,4004.00
-24.00,35.00,4.00,20,5910.00
-16.00,6.00,8.00,12,9327.00
19.00,24.00,7.00,22,5998.00
-26.00,20.00,2.00,6,4355.00
-30.00,28.00,8.00,18,5909.00
19.00,8.00,4.00,11,7421.00
19.00,17.00,13.00,15,4891.00
-28.00,20.00,13.00,6,4459.00
24.00,25.00,10.00,15,6467.00
27.00,21.00,11.00,15,7525.00
32.00,6.00,7.00,6,4817.00
-21.00,24.00,11.00,10,12769.00
-29.00,12.00,7.00,8,6672.00
-19.00,16.00,15.00,9,5123.00
-30.00,11.00,10.00,7,16593.00
-26.00,26.00,5.00,7,9520.00
26.00,28.00,17.00,12,3555.00
23.00,10.00,16.00,8,8981.00
-24.00,51.00,8.00,14,7970.00
22.00,29.00,11.00,12,6085.00
18.00,30.00,10.00,16,12416.00
-26.00,28.00,11.00,11,13423.00
-26.00,34.00,8.00,11,785.00
-31.00,31.00,11.00,11,4401.00
-15.00,22.00,7.00,8,5652.00
27.00,27.00,7.00,20,4560.00
-33.00,12.00,16.00,24,4905.00
22.00,13.00,6.00,12,5889.00
29.00,26.00,5.00,9,4685.00
23.00,30.00,8.00,12,2509.00
-19.00,21.00,12.00,14,11474.00
31.00,10.00,6.00,11,6733.00
29.00,9.00,8.00,22,4661.00
31.00,11.00,1.00,19,6271.00
-19.00,27.00,8.00,7,7341.00
25.00,17.00,4.00,14,16530.00
34.00,13.00,8.00,10,5575.00
17.00,11.00,17.00,8,3106.00
-12.00,23.00,4.00,11,6719.00
-30.00,36.00,11.00,12,3964.00
-25.00,20.00,6.00,15,6945.00
29.00,27.00,10.00,10,5036.00
-23.00,15.00,9.00,6,6940.00
-26.00,22.00,5.00,5,3982.00
19.00,24.00,1.00,8,3502.00
-19.00,17.00,4.00,19,8107.00
-22.00,29.00,9.00,11,9254.00
28.00,40.00,5.00,13,9761.00
29.00,22.00,9.00,4,2465.00
33.00,20.00,8.00,11,3735.00
22.00,30.00,11.00,14,3614.00
20.00,20.00,10.00,14,3647.00
20.00,26.00,6.00,12,6896.00
-22.00,7.00,6.00,15,8021.00
-23.00,28.00,6.00,23,2835.00
28.00,14.00,13.00,10,6316.00
-20.00,28.00,1.00,13,9077.00
17.00,8.00,19.00,12,2588.00
-25.00,30.00,3.00,7,3003.00
-26.00,14.00,9.00,11,10591.00
-25.00,9.00,13.00,11,2335.00
-19.00,10.00,10.00,15,4852.00
21.00,24.00,14.00,8,5137.00
-20.00,12.00,4.00,7,6709.00
-16.00,13.00,11.00,4,8318.00
16.00,4.00,13.00,11,5144.00
25.00,18.00,8.00,7,5298.00
-28.00,3.00,9.00,13,5808.00
-20.00,13.00,16.00,10,4124.00
20.00,21.00,16.00,15,10607.00
-25.00,12.00,4.00,18,7373.00
37.00,43.00,12.00,11,4559.00
-27.00,10.00,6.00,11,11257.00
25.00,7.00,7.00,9,10098.00
31.00,10.00,10.00,23,3279.00
24.00,24.00,9.00,13,2844.00
-21.00,21.00,18.00,11,4034.00
-27.00,4.00,9.00,15,3350.00
24.00,33.00,9.00,19,6846.00
28.00,24.00,5.00,13,6903.00
24.00,19.00,9.00,11,3719.00
-22.00,18.00,16.00,12,6163.00
27.00,19.00,12.00,7,3520.00
24.00,36.00,4.00,7,10355.00
-27.00,34.00,3.00,14,7649.00
27.00,3.00,10.00,12,4926.00
25.00,11.00,10.00,15,1190.00
-24.00,38.00,2.00,11,10256.00
25.00,11.00,6.00,14,4455.00
19.00,21.00,4.00,13,8001.00
24.00,36.00,9.00,6,4782.00
-21.00,1.00,5.00,15,8208.00
-21.00,16.00,11.00,13,10955.00
-19.00,1.00,12.00,10,12094.00
29.00,13.00,10.00,15,4785.00
-24.00,20.00,19.00,14,4555.00
-30.00,26.00,5.00,11,4804.00
17.00,8.00,14.00,11,5837.00
28.00,27.00,8.00,14,3145.00
-24.00,5.00,15.00,13,5460.00
25.00,13.00,6.00,6,5082.00
37.00,14.00,12.00,21,4860.00
27.00,56.00,13.00,17,978.00
-23.00,23.00,5.00,14,4055.00
-28.00,12.00,14.00,9,1625.00
-30.00,12.00,7.00,17,3046.00
20.00,17.00,3.00,14,4406.00
29.00,13.00,10.00,6,8084.00
26.00,29.00,17.00,10,355.00
17.00,9.00,9.00,7,8536.00
-17.00,26.00,6.00,14,7361.00
-22.00,17.00,7.00,18,8903.00
16.00,4.00,10.00,14,10466.00
-23.00,22.00,8.00,14,749.00
25.00,32.00,17.00,6,1435.00
18.00,62.00,8.00,15,5943.00
-24.00,33.00,10.00,14,13432.00
-30.00,36.00,11.00,17,6828.00
-24.00,16.00,8.00,8,6025.00
-19.00,24.00,6.00,15,4131.00
-16.00,11.00,17.00,11,1931.00
17.00,15.00,15.00,10,13476.00
26.00,33.00,2.00,16,-207.00
26.00,21.00,16.00,12,8121.00
18.00,16.00,8.00,6,10844.00
-28.00,39.00,9.00,8,10035.00
-19.00,23.00,3.00,8,5181.00
17.00,4.00,10.00,11,6430.00
-20.00,27.00,7.00,13,7631.00
32.00,2.00,12.00,12,6188.00
-21.00,19.00,3.00,12,2818.00
20.00,27.00,4.00,14,13862.00
20.00,41.00,9.00,12,2570.00
30.00,30.00,8.00,13,3093.00
-31.00,21.00,19.00,8,5490.00
-20.00,12.00,4.00,15,7829.00
18.00,23.00,15.00,11,2392.00
25.00,29.00,2.00,6,2269.00
-26.00,29.00,6.00,17,3612.00
-16.00,12.00,9.00,5,4708.00
20.00,24.00,12.00,6,6611.00
19.00,8.00,9.00,10,4812.00
-20.00,10.00,15.00,12,1419.00
-21.00,29.00,7.00,10,2936.00
-32.00,13.00,8.00,20,4622.00
23.00,24.00,12.00,11,2247.00
19.00,33.00,16.00,5,5433.00
-18.00,13.00,4.00,9,9467.00
-25.00,50.00,13.00,18,2663.00
-23.00,18.00,8.00,5,9745.00
25.00,23.00,6.00,10,6697.00
28.00,31.00,8.00,12,6972.00
-27.00,10.00,12.00,16,4731.00
-20.00,14.00,16.00,8,7358.00
-35.00,19.00,12.00,10,2102.00
24.00,42.00,8.00,9,6805.00
20.00,27.00,12.00,12,8367.00
-32.00,5.00,2.00,7,1407.00
29.00,36.00,9.00,4,4499.00
22.00,19.00,11.00,10,5455.00
-26.00,10.00,3.00,11,9849.00
27.00,34.00,4.00,5,4147.00
-18.00,10.00,8.00,5,5647.00
23.00,34.00,4.00,16,7641.00
-23.00,26.00,7.00,7,414.00
-22.00,7.00,13.00,14,10690.00
-19.00,26.00,5.00,16,2024.00
28.00,16.00,9.00,17,6984.00
-24.00,30.00,9.00,13,2083.00
26.00,11.00,6.00,12,2101.00
25.00,38.00,9.00,6,3506.00
30.00,12.00,10.00,10,5017.00
-25.00,16.00,5.00,10,5585.00
-20.00,15.00,11.00,16,2364.00
26.00,36.00,11.00,7,2575.00
18.00,26.00,15.00,13,5687.00
-15.00,18.00,8.00,9,2914.00
31.00,36.00,9.00,7,10981.00
-26.00,14.00,5.00,13,3935.00
26.00,27.00,4.00,9,3059.00
22.00,17.00,10.00,13,3950.00
-22.00,15.00,4.00,12,6410.00
-17.00,34.00,11.00,6,7749.00
21.00,25.00,6.00,9,7256.00
28.00,2.00,14.00,17,7400.00
24.00,19.00,10.00,13,1254.00
-21.00,15.00,13.00,13,3705.00
20.00,11.00,11.00,11,2472.00
32.00,25.00,9.00,18,6438.00
-17.00,10.00,14.00,14,7418.00
-28.00,26.00,14.00,17,4183.00
-27.00,9.00,5.00,8,13897.00
21.00,16.00,7.00,13,6775.00
19.00,0.00,10.00,21,1891.00
-15.00,31.00,15.00,5,1053.00
30.00,24.00,14.00,13,6211.00
37.00,7.00,7.00,15,8331.00
-19.00,29.00,16.00,15,7358.00
20.00,16.00,12.00,8,5570.00
21.00,6.00,12.00,15,10335.00
-21.00,9.00,6.00,11,5601.00
-27.00,20.00,11.00,7,2324.00
-21.00,28.00,5.00,14,4596.00
-21.00,28.00,12.00,11,3260.00
33.00,19.00,11.00,4,7245.00
-24.00,19.00,10.00,17,6741.00
31.00,59.00,18.00,7,2486.00
-23.00,33.00,11.00,9,835.00
30.00,32.00,3.00,15,6214.00
18.00,11.00,16.00,11,6741.00
27.00,30.00,6.00,14,6336.00
22.00,15.00,12.00,12,3446.00
25.00,1.00,3.00,13,4016.00
25.00,11.00,6.00,4,9789.00
-28.00,26.00,5.00,15,3371.00
26.00,26.00,10.00,15,4628.00
24.00,3.00,5.00,12,5504.00
24.00,28.00,12.00,9,6958.00
24.00,28.00,2.00,6,6533.00
22.00,33.00,6.00,7,9678.00
19.00,15.00,9.00,8,6592.00
26.00,17.00,1.00,14,3918.00
20.00,24.00,12.00,12,3452.00
22.00,6.00,7.00,11,10153.00
-25.00,4.00,7.00,14,3080.00
-27.00,16.00,8.00,6,5343.00
14.00,18.00,15.00,20,4782.00
17.00,40.00,15.00,20,3262.00
17.00,21.00,15.00,9,9887.00
21.00,31.00,13.00,21,6609.00
-29.00,9.00,3.00,15,5433.00
18.00,28.00,10.00,11,5887.00
22.00,42.00,8.00,11,2932.00
-24.00,29.00,4.00,14,3460.00
24.00,26.00,14.00,15,3128.00
34.00,26.00,10.00,12,2379.00
-19.00,16.00,10.00,18,3106.00
24.00,28.00,6.00,12,3894.00
-21.00,6.00,16.00,10,6891.00
-29.00,35.00,9.00,17,8055.00
26.00,26.00,6.00,11,7341.00
-30.00,12.00,10.00,12,6800.00
30.00,18.00,12.00,17,11265.00
26.00,25.00,11.00,11,7383.00
22.00,32.00,13.00,12,6141.00
27.00,2.00,9.00,5,8391.00
21.00,37.00,11.00,13,8844.00
-23.00,12.00,17.00,8,4022.00
-25.00,13.00,10.00,14,3430.00
25.00,18.00,17.00,10,6242.00
21.00,16.00,9.00,13,3459.00
27.00,30.00,11.00,4,7190.00
21.00,20.00,4.00,10,9269.00
25.00,26.00,12.00,10,14042.00
24.00,17.00,7.00,18,4011.00
-16.00,16.00,2.00,16,3999.00
23.00,21.00,9.00,13,2847.00
22.00,21.00,9.00,4,10651.00
25.00,16.00,5.00,15,7511.00
23.00,38.00,8.00,11,8544.00
35.00,16.00,1.00,16,4468.00
-25.00,16.00,11.00,9,2931.00
-20.00,10.00,5.00,12,5149.00
22.00,62.00,11.00,19,4142.00
-24.00,19.00,2.00,14,12243.00
17.00,14.00,10.00,18,7090.00
-23.00,19.00,3.00,24,6475.00
22.00,23.00,8.00,7,5845.00
-32.00,17.00,4.00,11,6079.00
-21.00,23.00,5.00,7,7888.00
25.00,27.00,7.00,12,2042.00
-18.00,34.00,13.00,9,7023.00
-20.00,18.00,11.00,20,1955.00
30.00,19.00,6.00,15,6820.00
21.00,21.00,13.00,11,7056.00
29.00,28.00,11.00,10,3075.00
-30.00,1.00,6.00,13,2021.00
-15.00,17.00,2.00,9,3394.00
-23.00,4.00,8.00,16,4566.00
-27.00,13.00,9.00,9,1407.00
22.00,28.00,6.00,17,2415.00
-22.00,19.00,15.00,6,6625.00
-25.00,40.00,10.00,13,6347.00
-17.00,24.00,7.00,13,8180.00
28.00,30.00,13.00,17,6391.00
-31.00,27.00,11.00,15,6863.00
31.00,13.00,7.00,7,5995.00
23.00,38.00,7.00,6,5780.00
-28.00,35.00,11.00,14,9994.00
32.00,17.00,7.00,6,4656.00
-22.00,27.00,6.00,8,6203.00
31.00,10.00,8.00,7,4465.00
19.00,33.00,9.00,5,2004.00
-20.00,31.00,11.00,15,3487.00
21.00,12.00,6.00,10,5901.00
-27.00,2.00,7.00,14,7077.00
-19.00,33.00,4.00,13,7021.00
26.00,10.00,8.00,15,9701.00
17.00,13.00,8.00,7,6480.00
33.00,6.00,14.00,19,4339.00
25.00,14.00,9.00,18,4969.00
-22.00,17.00,6.00,11,3435.00
-22.00,17.00,7.00,11,10457.00
-22.00,13.00,10.00,15,7082.00
29.00,19.00,10.00,12,9638.00
-23.00,28.00,13.00,17,3658.00
20.00,15.00,7.00,20,8094.00
27.00,29.00,4.00,14,10686.00
-19.00,13.00,11.00,12,16486.00
30.00,20.00,11.00,5,9154.00
31.00,10.00,12.00,10,5906.00
-18.00,32.00,14.00,18,4230.00
-27.00,26.00,5.00,9,5085.00
-28.00,12.00,3.00,13,9321.00
-28.00,14.00,5.00,18,9116.00
-27.00,9.00,6.00,13,8361.00
-27.00,33.00,8.00,14,5737.00
-26.00,27.00,11.00,14,3358.00
-22.00,11.00,7.00,14,3470.00
20.00,26.00,10.00,14,6523.00
27.00,13.00,4.00,13,4926.00
-25.00,23.00,12.00,17,2540.00
24.00,29.00,11.00,9,6250.00
-33.00,23.00,15.00,17,8435.00
22.00,8.00,8.00,10,3427.00
-19.00,27.00,5.00,8,5113.00
23.00,22.00,6.00,9,4965.00
-22.00,25.00,12.00,12,11816.00
-20.00,31.00,1.00,11,834.00
30.00,15.00,9.00,19,1387.00
24.00,6.00,4.00,11,6694.00
26.00,12.00,10.00,19,6196.00
26.00,4.00,2.00,14,7614.00
-28.00,16.00,14.00,13,4166.00
-22.00,21.00,12.00,16,6710.00
-26.00,13.00,16.00,9,3456.00
29.00,10.00,15.00,15,5300.00
-20.00,20.00,4.00,3,1021.00
25.00,22.00,9.00,11,2386.00
-30.00,12.00,9.00,16,6869.00
21.00,20.00,15.00,14,10555.00
21.00,14.00,10.00,18,8923.00
-28.00,30.00,15.00,12,6742.00
27.00,15.00,8.00,11,4833.00
21.00,10.00,10.00,15,5668.00
-23.00,30.00,5.00,11,4272.00
-26.00,13.00,5.00,5,4115.00
-30.00,1.00,7.00,13,4871.00
-15.00,42.00,15.00,12,3325.00
22.00,18.00,13.00,11,6946.00
22.00,23.00,10.00,11,3407.00
-25.00,18.00,2.00,8,9215.00
20.00,6.00,11.00,10,4701.00
19.00,12.00,11.00,15,7407.00
20.00,10.00,4.00,12,9962.00
22.00,23.00,6.00,12,1413.00
-18.00,30.00,13.00,7,3360.00
23.00,1.00,13.00,17,8517.00
19.00,29.00,4.00,9,4353.00
-20.00,53.00,8.00,20,2711.00
-17.00,29.00,12.00,19,17099.00
19.00,26.00,12.00,7,6928.00
-20.00,8.00,9.00,7,3232.00
21.00,22.00,7.00,14,16653.00
-29.00,35.00,4.00,10,4057.00
31.00,7.00,14.00,12,9288.00
-25.00,11.00,14.00,5,7000.00
-29.00,12.00,3.00,16,7022.00
22.00,13.00,10.00,6,3171.00
-19.00,21.00,7.00,10,9117.00
30.00,17.00,9.00,15,2635.00
-26.00,27.00,14.00,18,4703.00
21.00,7.00,4.00,5,4501.00
21.00,16.00,5.00,13,2737.00
26.00,59.00,9.00,13,7725.00
17.00,8.00,4.00,14,9524.00
17.00,13.00,18.00,6,10675.00
30.00,17.00,9.00,10,2665.00
26.00,37.00,8.00,6,4950.00
-21.00,24.00,9.00,13,4690.00
26.00,36.00,12.00,17,5400.00
30.00,27.00,3.00,7,1428.00
-23.00,20.00,15.00,8,1072.00
-25.00,31.00,8.00,17,6722.00
-28.00,16.00,9.00,12,7594.00
-23.00,4.00,13.00,8,7566.00
-28.00,7.00,9.00,12,4179.00
-28.00,28.00,9.00,15,5055.00
